Service Name,Departure Time,Arrival Time,Bus Type,Available Seats,Ticket Rate
"

2109MNGBNG

",21:09,05:30,"
			AC SLEEPER","
				28Seats
			","
				896"
"

2140MNGBNG

",21:40,05:30,"
			AC SLEEPER","
				24Seats
			","
				896"
"

2200MNGBNG

",22:00,06:00,"
			AC SLEEPER","
				28Seats
			","
				896"
"

2000CDPBNG

",22:30,06:30,"
			AC SLEEPER","
				27Seats
			","
				896"
"

2033CDPBNG

",23:10,06:30,"
			AC SLEEPER","
				26Seats
			","
				896"
"

2105CDPBNG

",23:30,06:30,"
			AC SLEEPER","
				26Seats
			","
				896"
"

0700MNGBNG

",07:00,15:30,"
			AIRAVAT","
				37Seats
			","
				749"
"

0800MNGBNG

",08:00,16:30,"
			AIRAVAT","
				38Seats
			","
				749"
"

1003MNGBNG

",10:03,20:15,"
			AIRAVAT","
				37Seats
			","
				750"
"

1503MNGBNG

",15:03,23:00,"
			AIRAVAT","
				37Seats
			","
				749"
"

2101MNGBNG

",21:01,06:00,"
			AIRAVAT","
				37Seats
			","
				750"
"

2115MNGBNG

",21:15,06:00,"
			AIRAVAT","
				37Seats
			","
				750"
"

2239MNGBNG

",22:39,06:45,"
			AIRAVAT","
				35Seats
			","
				750"
"

0805MNGBNG

",08:05,18:30,"
			AIRAVAT CLUB CLASS","
				40Seats
			","
				847"
"

0900MNGBNG

",09:00,17:00,"
			AIRAVAT CLUB CLASS","
				37Seats
			","
				876"
"

1000MNGBNG

",10:00,18:30,"
			AIRAVAT CLUB CLASS","
				39Seats
			","
				854"
"

0905MNPBNG

",10:30,19:30,"
			AIRAVAT CLUB CLASS","
				40Seats
			","
				847"
"

1100MNGBNG

",11:00,19:00,"
			AIRAVAT CLUB CLASS","
				39Seats
			","
				850"
"

0900CDPBNG

",11:30,20:00,"
			AIRAVAT CLUB CLASS","
				33Seats
			","
				854"
"

1201MNGBNG

",12:01,20:30,"
			AIRAVAT CLUB CLASS","
				25Seats
			","
				854"
"

1205MNGBNG

",12:05,21:05,"
			AIRAVAT CLUB CLASS","
				40Seats
			","
				836"
"

1300MNGBNG

",13:00,21:30,"
			AIRAVAT CLUB CLASS","
				30Seats
			","
				850"
"

1400MNGBNG

",14:00,22:30,"
			AIRAVAT CLUB CLASS","
				31Seats
			","
				854"
"

1600MNGBNG

",16:00,23:45,"
			AIRAVAT CLUB CLASS","
				32Seats
			","
				876"
"

1935MNGBNG

",19:35,06:00,"
			AIRAVAT CLUB CLASS","
				37Seats
			","
				850"
"

2029MNGBNG

",20:29,04:30,"
			AIRAVAT CLUB CLASS","
				36Seats
			","
				854"
"

2050MNGBNG

",20:50,04:50,"
			AIRAVAT CLUB CLASS","
				30Seats
			","
				850"
"

2212MNGBNG

",22:12,06:00,"
			AIRAVAT CLUB CLASS","
				34Seats
			","
				854"
"

2221MNGBNG

",22:21,06:21,"
			AIRAVAT CLUB CLASS","
				40Seats
			","
				850"
"

2230MNGBNG

",22:30,06:30,"
			AIRAVAT CLUB CLASS","
				39Seats
			","
				854"
"

1952CDPBNG

",22:35,06:30,"
			AIRAVAT CLUB CLASS","
				37Seats
			","
				854"
"

2115MNPBNG

",22:45,06:30,"
			AIRAVAT CLUB CLASS","
				39Seats
			","
				854"
"

2250MNGBNG

",22:50,06:30,"
			AIRAVAT CLUB CLASS","
				39Seats
			","
				854"
"

2314MNGBNG

",23:14,07:15,"
			AIRAVAT CLUB CLASS","
				37Seats
			","
				836"
"

2000GNOBNG

",23:15,06:30,"
			AIRAVAT CLUB CLASS","
				38Seats
			","
				850"
"

2000BIRBNG

",23:30,06:15,"
			AIRAVAT CLUB CLASS","
				40Seats
			","
				850"
"

2001MRDBNG

",23:45,05:45,"
			AIRAVAT CLUB CLASS","
				35Seats
			","
				850"
"

1900CDPBIAL

",21:35,05:00,"
			FLYBUS","
				35Seats
			","
				911"
"

0530MNGBNG

",05:30,14:00,"
			KARNATAKA SARIGE","
				49Seats
			","
				383"
"

0600MNGBNG

",06:00,16:00,"
			KARNATAKA SARIGE","
				49Seats
			","
				390"
"

0630MNGBNG

",06:30,16:45,"
			KARNATAKA SARIGE","
				49Seats
			","
				390"
"

0702MNGBNG

",07:02,15:00,"
			KARNATAKA SARIGE","
				48Seats
			","
				383"
"

0545CDPBNG

",08:00,03:00,"
			KARNATAKA SARIGE","
				49Seats
			","
				383"
"

0905MNGBNG

",09:05,19:35,"
			KARNATAKA SARIGE","
				49Seats
			","
				390"
"

0959MNGBNG

",09:59,19:40,"
			KARNATAKA SARIGE","
				49Seats
			","
				390"
"

1015MNGBNG

",10:15,20:45,"
			KARNATAKA SARIGE","
				49Seats
			","
				390"
